Gene,Correlation
class_encoded,1.0
gene_17801,0.8500829894215582
gene_89,0.795128631298262
gene_19339,0.7793749739224266
gene_16372,0.7736076988879135
gene_6611,0.7583522022950303
gene_14092,0.7582869780291536
gene_15906,0.7544369219964429
gene_1750,0.7541976677731264
gene_18745,0.7528358036761772
gene_1784,0.7507750736912602
gene_18906,0.7276716718732099
gene_3448,0.7271581096268968
gene_6836,0.7268192464978521
gene_19296,0.7207735504735135
gene_221,0.7203161727996629
gene_10731,0.7193487864439383
gene_1482,0.7191707335524468
gene_1384,0.7157025783204879
gene_16170,0.7146717303542625
gene_5174,0.71190212047509
gene_11675,0.7109741628295739
gene_271,0.7093007162851519
gene_17751,0.7087949812623104
gene_4617,0.7081335894931658
gene_5578,0.7067706870904661
gene_15301,0.7064228753169143
gene_15589,0.7058845983665569
gene_7790,0.7057520715837128
gene_919,0.7043709813421911
gene_13161,0.7036286188227039
gene_17048,0.70229818046825
gene_17168,0.701273727414957
gene_4178,0.7005186641926007
gene_8891,0.6999733712567328
gene_1774,0.6993255471711585
gene_4618,0.6992000470454232
gene_18905,0.6982631215009757
gene_10548,0.6968405725850866
gene_203,0.696565372261984
gene_5523,0.6938435866346879
gene_11011,0.6934617233524629
gene_19313,0.6919775466107048
gene_12995,0.691923480793762
gene_4289,0.6905481643896552
gene_16358,0.6902926377541347
gene_4773,0.6899565522146173
gene_11920,0.6875451453634178
gene_6748,0.687518249605188
gene_9111,0.6852003406595965
gene_5453,0.6844266437192669
gene_15371,0.6836934770458291
gene_7062,0.6831571937580772
gene_18690,0.6818816599537246
gene_17947,0.6816545374670065
gene_2919,0.6815452779805268
gene_19913,0.6799798809339388
gene_18391,0.6797444178603342
gene_912,0.6793565487458689
gene_10279,0.6787187159931375
gene_355,0.6785318677298579
gene_13653,0.6752385837515215
gene_18135,0.6736412292489389
gene_357,0.6715139423636433
gene_17993,0.6703042203345023
gene_5815,0.6677717383612571
gene_6876,0.667748300306244
gene_14960,0.665975608704234
gene_7567,0.6641985227397367
gene_1503,0.6637002738278607
gene_753,0.6629997400637275
gene_9060,0.6624974024362943
gene_10646,0.6618161311539733
gene_4866,0.6616367011239304
gene_17905,0.6614543562163533
gene_16987,0.65972785315296
gene_11494,0.6595012700049373
gene_782,0.6589167345242539
gene_17472,0.658018862590121
gene_1331,0.6572271825532054
gene_380,0.6568981223482523
gene_17511,0.6554299692942455
gene_1265,0.6546938116950763
gene_13504,0.653111827389096
gene_12290,0.6528825657361843
gene_6361,0.6516463131015355
gene_7964,0.6514852615342697
gene_13588,0.6511859399452032
gene_5050,0.6507056785803959
gene_19661,0.64912436551168
gene_1096,0.6488857930735376
gene_14089,0.6487326372263659
gene_197,0.6481890326844582
gene_8831,0.6477125241578559
gene_5633,0.6474695732135244
gene_5240,0.6468180462931991
gene_18339,0.6452406965079399
gene_16078,0.6450157869108166
gene_8076,0.6434437704626995
gene_17354,0.6429892726099634
gene_12881,0.6429542997651257
gene_5407,0.6419985741857998
gene_1186,0.6410606151703926
gene_12069,0.6408735036967994
gene_13298,0.640675982688298
gene_13149,0.6406564865778978
gene_12848,0.6402386285927997
gene_763,0.6401450437135704
gene_4031,0.6399359569083358
gene_17664,0.6396162926303378
gene_14798,0.6395951174682568
gene_8490,0.6394801060398273
gene_12847,0.6379729043776179
gene_4062,0.637367688491895
gene_11124,0.6373654568070385
gene_15897,0.6367121955861289
gene_2747,0.6363914950405967
gene_6530,0.635852039066639
gene_17287,0.6339253274839876
gene_1669,0.6338841291664337
gene_2303,0.6338678438396584
gene_4629,0.6335109597749591
gene_15583,0.6329277490016393
gene_14337,0.6325337882307562
gene_5028,0.6324550395984658
gene_11030,0.6323205270621444
gene_11585,0.6319756230083885
gene_4308,0.6309168040696935
gene_146,0.6306600716961307
gene_13103,0.6297653792730225
gene_3737,0.6295861220642945
gene_14649,0.6289703907055997
gene_8788,0.6284968067707557
gene_18547,0.6283229989316358
gene_1326,0.6282967051792375
gene_3434,0.6274428040624734
gene_5857,0.6273581753044545
gene_9175,0.6263763684818441
gene_4912,0.626079704833557
gene_6940,0.624985445617125
gene_4057,0.6247878977907697
gene_951,0.6232549992176255
gene_148,0.6229759334704579
gene_18746,0.6229525542429247
gene_6572,0.6221893465628785
gene_11641,0.6217492325664845
gene_6998,0.6217110574953202
gene_1093,0.621431937162576
gene_7757,0.6210547712508364
gene_609,0.6208309409651083
gene_14020,0.6202678847181916
gene_14079,0.620079510462194
gene_3803,0.6188085182384945
gene_13976,0.6182881311952284
gene_9626,0.6181749419772273
gene_9176,0.617542361084026
gene_3579,0.6170651703270541
gene_6584,0.6169706442717241
gene_14866,0.6167706378376189
gene_1516,0.6148985634354769
gene_12895,0.6143202437293462
gene_2276,0.61370689441013
gene_10106,0.6136546361736174
gene_6687,0.6125286929585303
gene_13833,0.6118891925695878
gene_11698,0.611885214891088
gene_13801,0.6098915750105987
gene_19193,0.6098834506597797
gene_11409,0.6098223199783969
gene_19576,0.6089466707650912
gene_13970,0.6088852304440113
gene_819,0.6086128351958793
gene_706,0.6081079775377531
gene_8303,0.6075549407865031
gene_17397,0.6061318627994051
gene_10912,0.6055322421560763
gene_2729,0.6050264015080192
gene_8031,0.6047100194809963
gene_8713,0.6046017456501482
gene_13076,0.6039444610111139
gene_1149,0.603511881498571
gene_8032,0.6032427117325181
gene_14505,0.6029002593775303
gene_17762,0.6027691457225739
gene_15676,0.6027445729014484
gene_17374,0.6025283876083927
gene_10854,0.6018384810415041
gene_12245,0.6017824522680323
gene_6937,0.6011063811691512
gene_1991,0.6005145081205306
gene_13679,0.6004801304426698
gene_17881,0.6003890383055495
gene_16385,0.5998439611010845
gene_5925,0.5996436341255947
gene_9059,0.5977476113267653
gene_381,0.597642442894564
gene_12833,0.5970927830113559
gene_5275,0.5960133599331305
gene_6789,0.5953240432014293
gene_5027,0.595251649264348
gene_15302,0.5950388814860358
gene_2719,0.5947715434144796
gene_10061,0.593931496592602
gene_10050,0.5937427893025496
gene_6849,0.593211176605166
gene_10612,0.5931424481735936
gene_1707,0.5924250430991028
gene_16215,0.5921312594156755
gene_16249,0.5920774326560341
gene_2831,0.5918872375397844
gene_16255,0.591823671637046
gene_13184,0.5914019810237935
gene_13809,0.5901607312591816
gene_15059,0.589937956898252
gene_17916,0.5894990085427629
gene_12046,0.588454987852395
gene_13178,0.5878910705543087
gene_18270,0.5870487545486618
gene_4918,0.5867470695628247
gene_3680,0.5856696826120776
gene_1923,0.5856587275489151
gene_17770,0.5855787770138721
gene_15800,0.5854715672549184
gene_14913,0.5853989505922578
gene_9652,0.5853026400861222
gene_14472,0.5851557453188837
gene_5856,0.5846646771031874
gene_12946,0.5845236257279186
gene_18366,0.584258035384519
gene_537,0.5840216152669617
gene_19442,0.5839194140984811
gene_17949,0.5836775541370018
gene_5820,0.5836032410614398
gene_15999,0.5835371989515608
gene_16113,0.5830049294973085
gene_16201,0.5826585459280288
gene_5936,0.5826139510834749
gene_11685,0.582549203630327
gene_4058,0.5823857087584995
gene_8027,0.5823808569212088
gene_6828,0.5821748147503688
gene_15531,0.5818876021715725
gene_14068,0.5818729969499123
gene_14426,0.5818018970948591
gene_13530,0.5815446566395107
gene_7803,0.5812271917082835
gene_8910,0.5807052948256004
gene_12820,0.5801323531712994
gene_4170,0.579820237222309
gene_298,0.5783660363186638
gene_4900,0.5780987490589065
gene_18983,0.5780624835425899
gene_13223,0.576680942292091
gene_707,0.5760263463092854
gene_19192,0.5757213693715165
gene_15409,0.5751452187375683
gene_11467,0.5750991866948987
gene_967,0.5750311279352189
gene_14353,0.5749841532719014
gene_13313,0.5747625886282777
gene_17848,0.5741297612539752
gene_6946,0.5734694178916525
gene_13314,0.5734511435495026
gene_2894,0.5730797792060047
gene_13144,0.5726110116184807
gene_2951,0.5725141416699752
gene_2163,0.5721865427963612
gene_3641,0.5721700735922366
gene_9809,0.5720679286429479
gene_13510,0.5716057490621249
gene_11772,0.5715473445911373
gene_13720,0.5714984380173259
gene_15665,0.5714933743570656
gene_3554,0.5711096778298629
gene_7623,0.5711022566787092
gene_16452,0.5703080744709826
gene_10576,0.5695330845246609
gene_10813,0.5693308576290558
gene_16999,0.5692463309931065
gene_5107,0.5691834835486475
gene_8410,0.5688409170318567
gene_3569,0.5687805471930576
gene_8099,0.5687275459508523
gene_18781,0.5686815064597571
gene_2996,0.5686178860214963
gene_7061,0.5685321423144937
gene_9398,0.5683655517442822
gene_5707,0.5671198389247888
gene_12398,0.5671098158897921
gene_10572,0.5668313769509639
gene_15514,0.5664567227207877
gene_838,0.5658736603732792
gene_18970,0.5655877063028881
gene_9204,0.5653407160613803
gene_2258,0.5650453740437247
gene_14633,0.5649924286732816
gene_17026,0.5649630354522015
gene_6373,0.564758457800707
gene_12299,0.5645072068123295
gene_14451,0.5644541363989747
gene_16375,0.5640633344506922
gene_14853,0.5639174296980156
gene_14799,0.5638599382215712
gene_13950,0.5633954858028737
gene_17378,0.5633133689135706
gene_14925,0.5628724636026184
gene_4240,0.5627381552874289
gene_11393,0.5626863504546199
gene_13528,0.5622488252991821
gene_9173,0.5620917789637789
gene_718,0.5620130636915754
gene_16509,0.5620129933257059
gene_20203,0.5619203178770742
gene_19356,0.5615282695399312
gene_6202,0.5614014722193266
gene_1545,0.5613948342080622
gene_2918,0.5610975716119854
gene_9842,0.560900678263625
gene_6260,0.5605088572719917
gene_3535,0.5598121537965288
gene_19852,0.5596089617554297
gene_8064,0.5594828973590672
gene_17758,0.5593344172391249
gene_14352,0.5590143402725383
gene_9900,0.558913211031277
gene_4598,0.5588888944440317
gene_11758,0.5587090078408473
gene_12180,0.558642313126177
gene_2773,0.5586253042021988
gene_15475,0.5585396278760664
gene_2910,0.5583957469680949
gene_14637,0.55751594154484
gene_2661,0.5574127323725461
gene_6818,0.5571112073787222
gene_18587,0.5570978721687132
gene_18631,0.5570675421292521
gene_425,0.556995320579632
gene_13246,0.5560442169222547
gene_9538,0.5560167168799326
gene_16450,0.5559580170915793
gene_16507,0.5556635007090672
gene_8441,0.5552769027275586
gene_15016,0.5551591609262864
gene_15306,0.5549816857798894
gene_1605,0.5548980739982882
gene_11026,0.5548579318268366
gene_10686,0.554847934040438
gene_9425,0.5548108150045061
gene_19549,0.554662199976072
gene_3071,0.5546161431033306
gene_18170,0.5543142001779726
gene_16221,0.5542047140978386
gene_13397,0.5540856373311078
gene_18999,0.5540811230335653
gene_11379,0.5538384018193488
gene_2634,0.5529467141381864
gene_11586,0.5528947647849377
gene_16991,0.5528046378855376
gene_8607,0.5526345677722311
gene_10390,0.5525641747749955
gene_14570,0.5518566369869747
gene_12568,0.5516532410059908
gene_10357,0.5514000250860824
gene_5771,0.5511935870906461
gene_17577,0.5511934952237039
gene_8400,0.5509869266225796
gene_3588,0.5507707694789731
gene_19182,0.5507178463189977
gene_4651,0.5506607270927848
gene_17469,0.5506207078360178
gene_10217,0.5506085266286325
gene_9248,0.5504030277680287
gene_4398,0.5501718737347926
gene_18465,0.5500099414463868
gene_8995,0.5494932177575333
gene_11114,0.5491741379737483
gene_3414,0.5490233920607486
gene_7040,0.5490019698373247
gene_8142,0.5485107928607063
gene_12242,0.5484923770110229
gene_1128,0.5480418434166238
gene_10719,0.5480003607916348
gene_3663,0.5479110795940435
gene_12843,0.5477898847309919
gene_17376,0.5476604937564287
gene_887,0.5473443854384578
gene_1339,0.5471987504328505
gene_17857,0.5469753064406968
gene_4599,0.5466791461106258
gene_2422,0.5465617394971417
gene_18513,0.5465316522677338
gene_17105,0.5458507726031354
gene_14213,0.5457411977017632
gene_5598,0.5457403009180057
gene_19616,0.5455050067999229
gene_12350,0.5451267499359264
gene_17228,0.5451238837522205
gene_14003,0.5449294507660998
gene_8974,0.5449055271424952
