Gene,Correlation
class_encoded,1.0
gene_17801,0.8500829894215585
gene_89,0.7951286312982621
gene_19339,0.7793749739224266
gene_16372,0.7736076988879134
gene_6611,0.7583522022950306
gene_14092,0.7582869780291538
gene_15906,0.7544369219964427
gene_1750,0.7541976677731264
gene_18745,0.7528358036761774
gene_1784,0.7507750736912603
gene_18906,0.7276716718732097
gene_3448,0.7271581096268968
gene_6836,0.7268192464978522
gene_19296,0.7207735504735148
gene_221,0.7203161727996629
gene_10731,0.7193487864439383
gene_1482,0.7191707335524472
gene_1384,0.715702578320488
gene_16170,0.7146717303542622
gene_5174,0.7119021204750898
gene_11675,0.7109741628295739
gene_271,0.7093007162851523
gene_17751,0.7087949812623112
gene_4617,0.7081335894931658
gene_5578,0.7067706870904666
gene_15301,0.7064228753169145
gene_15589,0.7058845983665576
gene_7790,0.705752071583713
gene_919,0.7043709813421912
gene_13161,0.7036286188227041
gene_17048,0.70229818046825
gene_17168,0.7012737274149572
gene_4178,0.7005186641926004
gene_8891,0.6999733712567334
gene_1774,0.699325547171158
gene_4618,0.6992000470454238
gene_18905,0.698263121500977
gene_10548,0.6968405725850867
gene_203,0.6965653722619842
gene_5523,0.6938435866346878
gene_11011,0.6934617233524627
gene_19313,0.691977546610705
gene_12995,0.6919234807937616
gene_4289,0.690548164389655
gene_16358,0.690292637754135
gene_4773,0.6899565522146175
gene_11920,0.6875451453634186
gene_6748,0.6875182496051881
gene_9111,0.6852003406595966
gene_5453,0.6844266437192669
gene_15371,0.6836934770458287
gene_7062,0.6831571937580777
gene_18690,0.6818816599537244
gene_17947,0.6816545374670068
gene_2919,0.6815452779805269
gene_19913,0.6799798809339382
gene_18391,0.6797444178603337
gene_912,0.6793565487458687
gene_10279,0.6787187159931377
gene_355,0.678531867729858
gene_13653,0.6752385837515215
gene_18135,0.6736412292489393
gene_357,0.6715139423636436
gene_17993,0.6703042203345025
gene_5815,0.6677717383612575
gene_6876,0.6677483003062438
gene_14960,0.665975608704234
gene_7567,0.6641985227397369
gene_1503,0.6637002738278608
gene_753,0.6629997400637277
gene_9060,0.6624974024362942
gene_10646,0.6618161311539734
gene_4866,0.6616367011239306
gene_17905,0.661454356216353
gene_16987,0.6597278531529595
gene_11494,0.6595012700049373
gene_782,0.6589167345242538
gene_17472,0.658018862590121
gene_1331,0.6572271825532054
gene_380,0.6568981223482521
gene_17511,0.6554299692942457
gene_1265,0.6546938116950765
gene_13504,0.6531118273890962
gene_12290,0.6528825657361844
gene_6361,0.6516463131015354
gene_7964,0.65148526153427
gene_13588,0.6511859399452034
gene_5050,0.6507056785803963
gene_19661,0.6491243655116801
gene_1096,0.6488857930735383
gene_14089,0.648732637226366
gene_197,0.648189032684458
gene_8831,0.647712524157856
gene_5633,0.6474695732135244
gene_5240,0.6468180462931993
gene_18339,0.6452406965079398
gene_16078,0.6450157869108166
gene_8076,0.6434437704626994
gene_17354,0.6429892726099633
gene_12881,0.6429542997651252
gene_5407,0.6419985741857995
gene_1186,0.6410606151703928
gene_12069,0.6408735036967994
gene_13298,0.6406759826882972
gene_13149,0.6406564865778978
gene_12848,0.6402386285927995
gene_763,0.6401450437135707
gene_4031,0.6399359569083362
